id,name,category_name,add_1,city,pincode,phone_1,phone_2,mobile_1,email_id,website
24006,Leading Edge Studio Pvt. Ltd. (Sankraman Studio),Studios,"Unit 2, Aarey Colony, Goregaon (E), Mumbai, 400 065",Mumbai,400 065,,,"9820050052, 9769010181",aminpawar@gmail.com,
24007,Limelight Studio (Lokendra Singh),Studios,"ISC Compound, Janta Market, LBS Marg, Bhandup (W), Mumbai, 400 078",Mumbai,400 078,022 2594 0553,,"7,510,000,000.00",lls@iscudyog.com,www.llstudio.in
24008,Lucky Studio,Studios,"Post-Maghasar, Distt.-Panchmahal, Halol, Near Baroda, , Gujarat, 389 350",Gujarat,389 350,022 2620 9394,,,infoluckystudio69@gmail.com,
24009,Magnotape Studios,Studios,"B-34, Chandivali Farms, Near Sangharsh Nagar, Off Saki Vihar Road, Chandivali, Andheri (E), Mumbai, 400 072",Mumbai,400 072,,,"9,820,000,000.00",mtsstudiosbanquets@gmail.com,
24010,Marwah Studios,Studios,"FC 14/15, Sector 16/A, Filmcity, , Noida, 201 301",Noida,201 301,0120 483 1143,,"9,820,000,000.00",viney@marwahstudios.com,www.marwahstudios.com
24011,Mehboob Studios,Studios,"100 Hill Road, Bandra (W), Mumbai, 400 050",Mumbai,400 050,"022 2642 1626, 022 2642 1627, 022 2642 1628",2642 1630,,mehboobproductions@yahoo.co.in,
24012,Meraki Films LLP,Studios,"B/806, Express Zone, Western Express Highway, NH-8, Malad (E), Mumbai, 400 097",Mumbai,400 097,022 4969 3387,,,contact@merakifilms.in,www.merakifilms.in
24013,Mohan Studio / M & T Studio / Manoranjan Studio,Studios,"Office 9, Ground Floor, Mehta Estate, Opp. Chintamani Plaza, Chakala, Andheri-Kurla Road, Andheri (E), Mumbai, 400 093",Mumbai,400 093,022 2290 0027,,"9,820,000,000.00",gautamsmile@gmail.com,
24014,Mukutwala Creations P. L.,Studios,"102, Jai Amba Society, Juhu-Versova Link Road, Andheri (W), Mumbai, 400 053",Mumbai,400 053,"022 2637 1217, 022 2637 1218",,,deepakmukut@hotmail.com,www.sohamrockstar.com
24015,N. D. Studio,Studios,"Village Hatnoli, Chowk Phata, Karjat Road,Â Khalapur, , Raigad, 410 206",Raigad,410 206,,,"8169594147, Mgr. Sagar - 9763735863",ndstudios@rediffmail.comÂ Â,www.ndsfilmworld.com
24016,Neil Villa (Neil Chopra),Studios,"33/34, Vitthal Hari Marg, Dhaniv Road, Near Patilwadi Service Station, Vasai (E), 401 208",,401 208,,,"9867199327, 9619103389",neilchopra63@gmail.com,
24017,Nirvana - The Studio,Studios,"97, Oshiwara Link Plaza, 2nd Floor, Near Police Station, New Link Road Extension, Oshiwara, Andheri (W), Mumbai, 400 102",Mumbai,400 102,,,"9820281837, 9820136524",nirvanastudio01@gmail.com,www.instagram.com/nirvanathestudio
24018,Nirvana Digital Studio (Sadaf Ansari),Studios,"Gala 46, 4th Floor, Laxmi Industrial Estate, 45 Shankar Rao Naram Path, Lower Parel (W), Mumbai, 400 013",Mumbai,400 013,"022 2493 4434, 022 2493 4435",,"9,320,000,000.00",pinakin@nirvanadigital.com,www.nirvanadigital.com
24019,One Roof (Cherish Studio),Studios,"Gomes Wadi, Rathodi Cross Road, Off Marve Road, Opp. Rajput Marble, Bali Residency, Malad (W), Mumbai, 400 064",Mumbai,400 064,"022 2872 0401, 022 2872 0402, 022 2872 0403",,"Dinesh-9820199786, Prakash Joshi-9867099786",dhthakkar9@gmail.com,www.citystudio.co.in
24020,Osho Sagar Studio,Studios,"Erangle Village, Bhathigaon, Opp. Hiradevi Temple, Behind Mithun Chakraborty Bungalow, Madh Island, Malad (W), Mumbai",Mumbai,,,,"9,990,000,000.00",ajay.dj2002@gmail.com,
24021,Osho Sagar Studio (Vision),Studios,"Vichare Compound, Sawant Estate, Opp. Aura Hotel, Linking Road, Borivali (W), Mumbai",Mumbai,,,,"9819479146, 9987535454",ajay.dj2002@gmail.com,
24022,Rajkamal Kalamandir Pvt. Ltd.,Studios,"Rajkamal Marg, Dr. S. S. Rao Road, Parel (E), Mumbai, 400 012",Mumbai,400 012,"022 2413 6571, 022 2413 6572, 022 2413 6573",2413 5640,,kiran@rajkamalstudio.com,
24023,Ramdev Filmcity,Studios,"Village Maljipada, Near Mcdonald & Royal Garden Resort, Western Express Highway, NH 8, Thane",,,,,"9819157803, 8691894444",sales@ramdevfilmciity.com,www.ramdevfilmciity.com
24024,Rav Villa Studio,Studios,"Danapani Road, Near Punawala Bungalow, Madh Island, Malad (W), Mumbai",Mumbai,,,,"9,620,000,000.00",artbox2009@gmail.com,
24025,Ravi Sound Studio,Studios,"Vachan, 14, Meera Baug, Santacruz (W), Mumbai, 400 054",Mumbai,400 054,,2660 5012,"9,820,000,000.00",ravimusicdir@hotmail.com,
24026,Riverdale Studios,Studios,"102/A, Senapati Bapat Cross Road, Tulsi Pipe Road, Opp. Agmark Lab, Matunga (W), Mumbai, 400 016",Mumbai,400 016,,,"9323906066, 9167533533, 9167433433",riverdalestudio@gmail.com,
24027,S. J. Studios,Studios,"S. J. Studios Compound, Kherani Road, Near Sakinaka Post Office, Sakinaka, Andheri (E), Mumbai, 400 072",Mumbai,400 072,"022 2856 1771, 022 2856 2772",,Rizwan-9967003986,info@sjstudios.co.in,www.sjstudios.co.in
24028,S. S. Studio,Studios,"Ghodbunder Village Road, Near S. S. Clutch Mfg. Co., Ghodbunder Village, Mira Road (E), Thane, 401 107",Thane,401 107,,,"9004041333, 9004343397",bharatvaity22@gmail.com,
24029,Samvaad Studio,Studios,"16-D, Kashimira Industrial Estate, Western Express Highway Road, Behind Kashimira Police Station, Mira Road (E), Thane, 400 104",Thane,400 104,"022 2612 8527, 022 2613 5934",2612 8203,"9,820,000,000.00",info@samvaad.com,www.samvaad.com
24030,Sangeet Film Studio,Studios,"Plot 304, Near CNG Petrol Pump, Sarkhej-Bavla Highway, Changodar, , Ahmedabad, 382 213",Ahmedabad,382 213,,,"9,730,000,000.00",sangeetfilmstudio@gmail.com,
24031,Savroli One Studios & More,Studios,"Shreenath Industrial Estate, Village Savroli, Talasari, District Palghar, Maharashtra",Maharashtra,,,,"9321155155, 9820020960",hello@savrolione.com,www.savrolione.com
24032,Sitara Studio,Studios,"4-A, Kakasaheb Gadgil Marg, National Engineering Compound, Elphinstone Road, Opp. Tilak Bhavan, Dadar (W), Mumbai, 400 028",Mumbai,400 028,,,"9,820,000,000.00",nikhil@sitarastudio.in,
24033,Sreevansh Studio,Studios,"Plot 1831/1834, Near Vrindavan Studio, Akashwani, Malwani, Marve Road, Malad (W), Mumbai, 400 064",Mumbai,400 064,,,"9833436170, 9821150483",sreevanshstudio2018@gmail.com,
24034,Tubers Studio Entt. & Media P. L.,Studios,"56/12, Teekay Menthol, Sag Baug, Marol, Near Shemaroo, Andheri (E), Mumbai, 400 059",Mumbai,400 059,,,"9664007689, 9930960680",tubersstudio@gmail.com,www.tubersstudio.com
24035,WUS Studio (Prakash Guruswamy),Studios,"Gala 6, SSAS Complex, Opp. Sanman Hotel, Before S. J. Studio, Kherani Road, Sakinaka, Andheri (E), Mumbai, 400 072",Mumbai,400 072,022 2852 3938,,"9892553938, 8425807453",bestvideoarts@gmail.com,
